"No.","Time","Source","Destination","Protocol","Length","Info"
"9","4.076601","192.168.43.153","103.27.9.20","HTTP","491","GET / HTTP/1.1 "
"21","4.834221","192.168.43.153","103.27.9.20","HTTP","591","GET /sites/default/files/ctools/css/2d4fe1c1412881a73110e50a115127de.css?Y HTTP/1.1 "
"32","4.851373","103.27.9.20","192.168.43.153","HTTP","945","HTTP/1.1 200 OK  (text/html)"
"34","4.851461","192.168.43.153","103.27.9.20","HTTP","545","GET /modules/node/node.css?Y HTTP/1.1 "
"37","4.901665","192.168.43.153","103.27.9.20","HTTP","551","GET /modules/system/defaults.css?Y HTTP/1.1 "
"40","4.907114","192.168.43.153","103.27.9.20","HTTP","555","GET /modules/system/system-menus.css?Y HTTP/1.1 "
"43","4.907316","192.168.43.153","103.27.9.20","HTTP","550","GET /modules/system/system.css?Y HTTP/1.1 "
"46","4.912456","192.168.43.153","103.27.9.20","HTTP","545","GET /modules/user/user.css?Y HTTP/1.1 "
"48","4.947487","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"50","4.947671","192.168.43.153","103.27.9.20","HTTP","595","GET /sites/default/modules/calendar/calendar_multiday/calendar_multiday.css?Y HTTP/1.1 "
"52","4.995104","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"53","4.995387","192.168.43.153","103.27.9.20","HTTP","574","GET /sites/default/modules/cck/theme/content-module.css?Y HTTP/1.1 "
"55","5.062780","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"57","5.062981","192.168.43.153","103.27.9.20","HTTP","567","GET /sites/default/modules/ctools/css/ctools.css?Y HTTP/1.1 "
"59","5.097768","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"61","5.097983","192.168.43.153","103.27.9.20","HTTP","559","GET /sites/default/modules/date/date.css?Y HTTP/1.1 "
"63","5.132731","103.27.9.20","192.168.43.153","HTTP","318","HTTP/1.1 304 Not Modified "
"65","5.132905","192.168.43.153","103.27.9.20","HTTP","583","GET /sites/default/modules/date/date_popup/themes/datepicker.css?Y HTTP/1.1 "
"67","5.168105","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"69","5.168395","192.168.43.153","103.27.9.20","HTTP","588","GET /sites/default/modules/date/date_popup/themes/jquery.timeentry.css?Y HTTP/1.1 "
"70","5.193490","103.27.9.20","192.168.43.153","HTTP","317","HTTP/1.1 304 Not Modified "
"71","5.193744","192.168.43.153","103.27.9.20","HTTP","571","GET /sites/default/modules/dhtml_menu/dhtml_menu.css?Y HTTP/1.1 "
"72","5.208508","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"73","5.208681","192.168.43.153","103.27.9.20","HTTP","569","GET /sites/default/modules/filefield/filefield.css?Y HTTP/1.1 "
"74","5.233487","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"75","5.233697","192.168.43.153","103.27.9.20","HTTP","567","GET /sites/default/modules/panels/css/panels.css?Y HTTP/1.1 "
"76","5.258569","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"77","5.258726","192.168.43.153","103.27.9.20","HTTP","582","GET /sites/default/modules/cck/modules/fieldgroup/fieldgroup.css?Y HTTP/1.1 "
"78","5.283515","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"79","5.283686","192.168.43.153","103.27.9.20","HTTP","565","GET /sites/default/modules/views/css/views.css?Y HTTP/1.1 "
"80","5.303500","103.27.9.20","192.168.43.153","HTTP","315","HTTP/1.1 304 Not Modified "
"81","5.303696","192.168.43.153","103.27.9.20","HTTP","602","GET /sites/default/modules/panels/plugins/layouts/twocol_stacked/twocol_stacked.css?Y HTTP/1.1 "
"82","5.327556","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"83","5.327741","192.168.43.153","103.27.9.20","HTTP","582","GET /sites/all/modules/jcarousel/skins/tango/jcarousel-tango.css?Y HTTP/1.1 "
"84","5.342552","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"85","5.342832","192.168.43.153","103.27.9.20","HTTP","582","GET /sites/default/modules/views_nivo_slider/js/nivo-slider.css?Y HTTP/1.1 "
"86","5.365040","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"87","5.365183","192.168.43.153","103.27.9.20","HTTP","601","GET /sites/default/modules/views_nivo_slider/styles/default/custom-nivo-slider.css?Y HTTP/1.1 "
"88","5.373496","103.27.9.20","192.168.43.153","HTTP","315","HTTP/1.1 304 Not Modified "
"89","5.373596","192.168.43.153","103.27.9.20","HTTP","578","GET /sites/default/themes/fusion/fusion_core/css/style.css?Y HTTP/1.1 "
"90","5.408217","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
"91","5.408316","192.168.43.153","103.27.9.20","HTTP","583","GET /sites/default/themes/fusion/fusion_core/css/typography.css?Y HTTP/1.1 "
"92","5.408743","103.27.9.20","192.168.43.153","HTTP","316","HTTP/1.1 304 Not Modified "
